Months,Outdoor,Press,Radio,TV,Digital,Seasonality_Yes,Seasonality_No,External_Factors_Yes,External_Factors_No,Competition_Spends,Sales
Jan-18,0,0,0,0,0,0,1,0,1,-16990661,"515,685"
Feb-18,293370,0,94085,0,1471095,0,1,0,1,-13318663,"679,833"
Mar-18,312039,38898,122523,9697156,4371643,0,1,0,1,-9765139,"600,159"
Apr-18,0,19322,0,737651,113233,0,1,0,1,-3379771,"598,526"
May-18,133350,0,0,32747027,11781148,1,0,0,1,-33455072,"743,558"
Jun-18,223361,0,97351,24599967,12825870,1,0,0,1,-31700498,"602,623"
Jul-18,263366,0,239548,707659,10519987,1,0,0,1,-1451732,"736,474"
Aug-18,263366,0,356907,0,406842,1,0,0,1,-4315237,"1,004,870"
Sep-18,1669505,0,281644,0,11175073,0,1,0,1,-11956594,"524,752"
Oct-18,1729518,0,60516,0,10170066,0,1,0,1,-7059633,"531,620"
Nov-18,2782801,12834,346230,0,2927716,0,1,0,1,-8673412,"626,203"
Dec-18,314706,84859,693059,0,9587578,1,0,0,1,-10910686,"734,769"
Jan-19,0,72180,0,86858,592952,1,0,0,1,-8951515,"799,850"
Feb-19,0,0,0,0,204807,0,1,0,1,-6187979,"710,652"
Mar-19,0,0,0,19602,94,0,1,0,1,-8404239,"777,944"
Apr-19,0,5409,0,5540770,76730,0,1,0,1,-1005602,"712,596"
May-19,258366,0,915,36075684,119595,1,0,0,1,-66082215,"959,870"
Jun-19,201692,0,0,3483629,37369,1,0,0,1,-10867611,"548,837"
Jul-19,113348,0,0,0,47247,1,0,0,1,-3289804,"1,002,152"
Aug-19,53340,23859,0,0,74589,1,0,0,1,-757238,"830,231"
Sep-19,53340,28091,48947,1449265,58742,0,1,1,0,-1916523,"430,550"
Oct-19,122015,0,505860,5010452,14046,0,1,1,0,-3542704,"526,253"
Nov-19,0,0,217015,14828,82593,0,1,0,1,-3008834,"559,034"
Dec-19,177800,0,207166,3054429,25984,1,0,0,1,-23706494,"631,093"
Jan-20,0,0,0,1936324,0,0,1,0,1,-19586388,"592,622"
Feb-20,0,0,3031,0,914,0,1,0,1,-10180454,"560,027"
Mar-20,672084,0,0,0,22143,0,1,1,0,-19866436,"341,656"
Apr-20,336042,4161,0,7922116,118565,0,1,1,0,-30019657,"191,338"
May-20,3360420,0,0,27891048,124966,1,0,1,0,-69913115,"268,623"
Jun-20,0,0,0,2703872,316433,0,1,1,0,-11208672,"378,663"
Jul-20,0,0,168,0,61030,0,1,1,0,-14612882,"275,447"
Aug-20,0,0,0,0,50976,0,1,1,0,-15929489,"314,034"
Sep-20,165354,0,0,0,87028,0,1,0,1,-4908862,"375,677"
Oct-20,656082,0,0,5760170,63886,0,1,0,1,-11653564,"344,168"
Nov-20,200025,0,444975,4000645,144372,0,1,0,1,-9182340,"362,367"
Dec-20,389382,0,184487,1237775,216436,0,1,0,1,-7228217,"405,244"
Jan-21,61341,0,0,80010,2222,0,1,0,1,-1952509,"385,280"
Feb-21,0,0,0,0,14984,0,1,1,0,-4939860,"436,595"
Mar-21,1126674,0,0,0,137704,0,1,1,0,-8039274,"434,955"
Apr-21,1134675,0,0,34897941,265719,1,0,0,1,-48243829,"324,625"
May-21,0,7697,0,18420046,84856,1,0,0,1,-24469632,"321,310"
Jun-21,1478852,0,0,0,31193,0,1,0,1,-3323455,"308,203"
Jul-21,0,0,0,2018542,197669,0,1,0,1,-1676017,"295,928"
Aug-21,0,0,0,455832,19992,0,1,0,1,-6725366,"350,702"
Sep-21,280035,0,0,0,48870,0,1,0,1,-15643153,"360,923"
Oct-21,1717948,0,0,0,77748,0,1,0,1,-21231087,"374,304"
Nov-21,677418,0,0,0,122337,0,1,0,1,-21898052,"413,139"
Dec-21,0,0,0,0,376097,0,1,0,1,-13744886,"504,803"
